date,copper_price_usd_per_metric_ton,copper_price_usd_per_lb
1996-01-01,2604.99992943115,1.1816080928313935
1996-02-01,2544.66672335968,1.1542414108767876
1996-03-01,2563.34994940033,1.1627159796629183
1996-04-01,2594.17496803894,1.1766979729342248
1996-05-01,2658.76193080902,1.2059941264727747
1996-06-01,2177.59998270721,0.9877427378964342
1996-07-01,1983.93479971771,0.899897688484077
1996-08-01,2017.85720584564,0.9152846330886507
1996-09-01,1935.07143060913,0.8777336370653449
1996-10-01,1960.19567519531,0.8891298027212068
1996-11-01,2215.42864607391,1.004901530981257
1996-12-01,2264.59527826385,1.0272031402199122
1997-01-01,2427.27279402924,1.1009924202035266
1997-02-01,2406.63156159363,1.091629714655486
1997-03-01,2420.1842087265,1.0977770919934133
1997-04-01,2389.31814949341,1.083776483021575
1997-05-01,2513.29993523407,1.140013675099673
1997-06-01,2611.28570015411,1.1844592704732886
1997-07-01,2449.19570404663,1.1109364849239503
1997-08-01,2250.10004305115,1.0206282121205623
1997-09-01,2104.30955452118,0.9544987588493399
1997-10-01,2050.6955684021,0.9301798638000457
1997-11-01,1918.49994499359,0.8702169376242678
1997-12-01,1761.45239143524,0.7989813655432965
1998-01-01,1687.60000986328,0.765482488727835
1998-02-01,1663.99998604431,0.754777697982755
1998-03-01,1747.15916341095,0.7924980663633715
1998-04-01,1800.12507817535,0.8165230011907207
1998-05-01,1731.65792903595,0.7854668247193934
1998-06-01,1656.59518632507,0.7514189373259129
1998-07-01,1655.66672697449,0.7509977952482816
1998-08-01,1619.92507875671,0.7347856563118771
1998-09-01,1646.77269191284,0.7469635288024215
1998-10-01,1585.49992534637,0.7191706693757728
1998-11-01,1573.72497511139,0.7138296417875772
1998-12-01,1475.76309447174,0.6693948801413186
1999-01-01,1432.00002842255,0.6495442872769536
1999-02-01,1412.95,0.6409033397289555
1999-03-01,1378.47727272727,0.6252667736518416
1999-04-01,1463.725,0.6639344923350191
1999-05-01,1510.44736842105,0.6851274021769086
1999-06-01,1422.15909090909,0.645080513103458
1999-07-01,1639.18181818182,0.74352036639351
1999-08-01,1646.7380952381,0.7469478360147189
1999-09-01,1749.68181818182,0.7936423233205419
1999-10-01,1723.28571428571,0.7816692519854984
1999-11-01,1726.77272727273,0.783250934471828
1999-12-01,1764.88235294118,0.8005371699130892
2000-01-01,1843.85,0.8363562921258605
2000-02-01,1807.025,0.8196527530866031
2000-03-01,1739.8,0.7891600059877821
2000-04-01,1681.9075,0.7629004096855361
2000-05-01,1785.09782608696,0.8097067542956444
2000-06-01,1752.07272727273,0.7947268214424517
2000-07-01,1803.14285714286,0.8178918427058777
2000-08-01,1857.12391304348,0.8423772378074755
2000-09-01,1961.89285714286,0.8898996315037627
2000-10-01,1894.37272727273,0.8592730157475794
2000-11-01,1795.60227272727,0.8144714911467569
2000-12-01,1852.4,0.8402345068926128
2001-01-01,1787.05681818182,0.8105953381635085
2001-02-01,1766.125,0.8011008251380456
2001-03-01,1742.15909090909,0.7902300716251791
2001-04-01,1665.97222222222,0.755672289265643
2001-05-01,1684.85,0.7642351052353803
2001-06-01,1610.46904761905,0.7304964727337552
2001-07-01,1526.77045454545,0.6925314295039983
2001-08-01,1466.41136363636,0.6651530063845393
2001-09-01,1427.69736842105,0.6475926335279323
